"easting" "northing" "band1" "band2" "band3" "band4" "band5" "band6" "band7"
6 26 67 24 22 36 48 116 19
6 27 67 26 24 42 56 119 23
6 28 75 30 30 50 73 121 34
6 29 80 34 37 59 63 121 29
6 30 71 26 27 28 19 121 9
7 1 75 31 33 46 85 140 40
7 2 76 32 33 53 95 140 41
7 3 77 33 35 60 94 140 41
7 4 81 34 36 67 97 140 42
7 5 81 35 38 66 101 135 44
7 6 84 36 40 70 102 133 43
7 7 80 35 38 77 102 134 43
7 8 80 37 37 79 103 134 44
7 9 78 37 37 76 101 130 44
7 10 79 35 35 78 95 130 38
7 11 75 34 32 86 96 130 36
7 12 74 33 32 92 98 130 37
7 13 75 34 33 93 97 129 38
7 14 75 34 31 91 94 129 35
7 15 75 33 30 89 93 129 35
7 16 75 33 32 88 95 133 36
7 17 74 33 32 88 98 136 37
7 18 77 34 35 84 100 136 41
7 19 80 34 38 73 93 136 41
7 20 72 28 30 51 68 126 29
7 21 69 26 25 44 54 122 21
7 22 68 25 23 43 56 122 18
7 23 68 26 25 43 54 121 21
7 24 69 26 24 37 42 116 18
7 25 67 25 22 33 36 116 16
7 26 66 24 21 34 37 116 14
7 27 66 25 22 39 46 118 19
7 28 71 28 26 47 66 121 30
7 29 79 33 35 58 72 121 34
7 30 75 30 31 40 35 121 18
8 1 75 29 32 38 68 140 38
8 2 74 31 31 38 77 141 38
8 3 74 31 32 41 76 143 37
8 4 77 29 32 46 81 146 37
8 5 78 31 33 51 89 142 40
8 6 80 35 39 66 98 135 43
8 7 81 35 38 74 102 135 43
8 8 80 36 37 77 105 135 45
8 9 81 37 38 78 102 131 44
8 10 79 37 39 77 100 130 42
8 11 77 34 36 78 95 130 38
8 12 74 31 31 87 94 130 35
8 13 79 34 34 90 95 129 36
8 14 75 33 30 88 90 129 34
8 15 74 32 28 91 91 129 34
8 16 74 32 29 90 90 131 34
8 17 75 33 28 91 92 136 36
8 18 77 35 35 84 102 136 42
8 19 83 36 41 75 102 136 45
8 20 77 33 36 63 74 127 34
8 21 68 28 29 50 52 122 23
8 22 69 26 25 44 50 122 22
8 23 69 26 25 41 47 122 20
8 24 65 23 20 34 36 116 13
8 25 68 25 22 34 36 116 14
8 26 65 23 21 32 32 116 13
8 27 66 24 22 37 41 117 15
8 28 70 27 26 45 59 121 27
8 29 75 31 31 54 75 121 34
8 30 77 32 34 46 52 121 25
9 1 73 29 31 37 61 147 36
9 2 73 29 31 38 63 149 36
9 3 72 29 30 37 63 149 35
9 4 74 27 30 36 63 149 35
9 5 75 28 31 40 71 146 37
9 6 78 33 37 62 95 135 43
9 7 80 35 37 75 100 135 43
9 8 80 35 38 76 103 135 45
9 9 82 36 40 73 102 133 44
9 10 81 36 39 75 99 130 42
9 11 78 35 37 76 94 130 38
9 12 75 32 31 88 91 130 33
9 13 73 31 28 94 92 129 34
9 14 75 32 28 95 90 129 32
9 15 72 31 27 97 90 129 32
9 16 75 32 29 99 92 129 31
9 17 75 33 29 97 94 136 36
9 18 78 35 34 92 106 136 42
9 19 85 38 42 78 109 136 47
9 20 82 34 38 67 91 131 38
9 21 72 29 30 50 62 122 27
9 22 69 26 25 43 52 122 22
9 23 68 24 23 35 39 122 16
9 24 65 22 20 32 32 118 14
9 25 66 23 20 33 32 116 12
9 26 65 22 20 33 31 116 11
9 27 66 23 21 37 39 116 16
9 28 69 26 23 43 54 121 20
9 29 72 27 28 52 68 121 33
9 30 78 35 37 55 68 121 31
10 1 74 30 34 46 60 146 35
10 2 72 28 30 39 59 149 33
10 3 73 27 29 37 59 149 34
10 4 73 27 28 34 60 149 36
10 5 74 27 29 36 66 149 36
10 6 77 32 37 59 92 135 40
10 7 80 35 38 74 97 135 42
10 8 79 34 35 69 96 135 42
10 9 81 35 36 71 97 133 42
10 10 80 37 37 78 98 129 42
10 11 80 37 38 82 98 129 42
10 12 76 34 35 85 94 128 38
10 13 75 32 30 93 93 129 34
10 14 75 33 29 97 91 129 32
10 15 74 32 27 97 91 129 32
10 16 73 32 28 100 94 129 32
10 17 75 33 30 99 94 135 35
10 18 77 35 35 89 104 136 42
10 19 82 37 40 72 102 136 44
10 20 82 33 36 62 83 135 34
10 21 71 28 28 48 58 120 24
10 22 68 25 25 40 45 119 19
10 23 65 23 21 33 33 118 14
10 24 65 22 20 33 29 117 11
10 25 64 22 20 34 28 116 11
10 26 65 22 21 34 31 116 12
10 27 64 23 22 38 36 116 15
10 28 68 24 22 41 46 120 20
10 29 71 26 25 49 61 121 28
10 30 78 33 35 58 79 121 36
11 1 74 29 30 49 67 143 35
11 2 74 29 30 42 58 149 33
11 3 73 27 29 37 58 149 35
11 4 73 27 30 36 61 149 37
11 5 75 29 32 37 69 147 40
11 6 77 32 37 56 90 135 43
11 7 79 36 38 71 94 131 42
11 8 76 33 34 69 94 129 39
11 9 77 34 35 77 99 129 41
11 10 78 38 38 85 104 128 42
11 11 83 39 41 86 106 128 44
11 12 81 37 40 84 100 128 38
11 13 76 33 32 90 94 128 33
11 14 75 32 29 97 92 129 33
11 15 74 32 28 98 91 129 32
11 16 75 33 29 96 94 129 35
11 17 77 33 32 94 96 133 36
11 18 77 34 33 90 99 136 39
11 19 80 35 37 80 100 136 42
11 20 81 34 37 68 87 135 38
11 21 72 29 29 50 53 119 23
11 22 67 24 22 38 38 117 15
11 23 68 23 21 35 32 117 12
11 24 64 22 20 33 27 117 10
11 25 64 22 20 34 27 116 10
11 26 66 23 20 35 30 116 12
11 27 66 24 20 38 35 116 13
11 28 66 25 21 40 41 118 16
11 29 68 26 24 45 54 121 23
11 30 75 31 31 52 75 121 34
12 1 72 29 29 47 67 140 36
12 2 72 29 31 43 60 144 34
12 3 74 29 29 38 62 141 37
12 4 74 30 30 38 65 137 39
12 5 76 30 33 41 73 137 41
12 6 78 34 37 59 87 133 42
12 7 80 36 40 75 98 129 43
12 8 78 35 37 77 100 129 43
12 9 80 36 38 79 104 129 45
12 10 81 38 39 83 105 128 44
12 11 83 39 42 87 106 128 45
12 12 83 38 43 83 107 128 43
12 13 77 34 36 84 92 128 35
12 14 75 32 29 93 92 129 34
12 15 76 33 30 94 92 129 33
12 16 77 33 30 94 94 129 33
12 17 76 32 30 96 94 130 34
12 18 75 33 30 96 94 131 34
12 19 77 34 33 90 99 129 39
12 20 81 34 37 74 92 129 39
12 21 74 29 30 51 54 121 23
12 22 67 25 23 38 37 117 16
12 23 66 23 21 35 34 117 13
12 24 66 22 20 34 28 117 11
12 25 64 22 21 34 27 116 11
12 26 65 25 21 36 33 116 13
12 27 67 25 21 40 39 116 14
12 28 66 25 22 41 39 118 16
12 29 66 25 23 43 49 123 21
12 30 71 28 29 50 70 124 30
13 1 74 29 31 49 69 134 37
13 2 73 29 32 41 63 137 34
13 3 73 30 32 40 68 137 38
13 4 73 30 33 41 70 137 38
13 5 76 32 35 56 79 137 40
13 6 81 36 38 69 88 135 42
13 7 83 38 42 77 99 129 43
13 8 80 36 39 74 101 129 44
13 9 82 37 41 77 104 129 45
13 10 83 38 41 80 105 128 45
13 11 84 39 42 83 106 128 46
13 12 84 39 43 83 106 128 46
13 13 79 36 39 82 95 128 39
13 14 76 32 32 87 92 128 33
13 15 74 31 28 93 89 128 30
13 16 75 32 27 94 91 128 31
13 17 73 31 29 98 92 128 32
13 18 73 32 30 99 91 129 30
13 19 75 34 31 97 95 129 35
13 20 79 34 34 79 84 129 33
13 21 73 28 29 52 50 124 20
13 22 66 25 23 39 36 117 14
13 23 66 24 22 37 31 118 11
13 24 66 23 21 36 29 120 11
13 25 65 23 21 36 28 119 12
13 26 65 25 22 38 33 118 13
13 27 65 24 21 41 38 118 16
13 28 66 24 23 41 41 118 16
13 29 65 25 23 44 48 124 20
13 30 73 27 27 51 64 124 29
14 1 75 32 33 57 73 134 36
14 2 74 33 35 52 73 136 39
14 3 78 35 37 59 79 137 42
14 4 80 36 39 65 85 137 43
14 5 81 38 41 78 95 137 43
14 6 85 38 41 78 102 137 44
14 7 85 39 44 78 101 129 46
14 8 82 37 42 76 104 129 46
14 9 83 38 43 76 104 129 45
14 10 83 38 42 79 106 128 46
14 11 82 39 42 82 106 127 45
14 12 85 40 44 81 106 127 46
14 13 83 38 42 80 100 127 42
14 14 79 35 36 82 93 128 36
14 15 76 32 30 88 88 128 33
14 16 74 32 28 93 90 128 32
14 17 75 30 29 98 93 128 31
14 18 73 33 28 101 91 129 32
14 19 76 33 29 100 92 129 33
14 20 78 33 33 83 88 129 35
14 21 76 32 33 66 70 128 29
14 22 71 29 28 53 40 124 18
14 23 68 27 26 50 38 125 16
14 24 68 26 24 49 35 125 15
14 25 66 26 23 44 32 122 14
14 26 67 25 22 40 35 118 13
14 27 66 25 22 42 37 118 15
14 28 66 24 22 42 41 118 17
14 29 68 26 24 45 51 122 23
14 30 71 26 26 51 58 124 26
15 1 78 35 38 64 86 134 41
15 2 80 36 42 67 93 135 45
15 3 83 37 43 72 101 137 46
15 4 83 38 42 75 105 135 46
15 5 84 39 44 79 105 133 45
15 6 85 38 43 79 105 130 44
15 7 85 38 44 77 105 128 46
15 8 87 39 44 78 105 128 47
15 9 84 39 44 77 105 128 45
