"easting" "northing" "band1" "band2" "band3" "band4" "band5" "band6" "band7"
26 16 78 34 36 76 96 129 42
26 17 77 35 37 71 92 128 39
26 18 76 33 33 72 87 128 36
26 19 75 33 30 77 88 128 37
26 20 75 33 33 78 95 129 38
26 21 76 35 36 87 97 131 39
26 22 78 36 36 87 101 132 39
26 23 77 36 36 87 102 132 39
26 24 81 35 37 85 104 132 40
26 25 80 35 37 85 102 133 41
26 26 80 35 37 85 100 133 40
26 27 80 35 36 83 98 133 38
26 28 80 36 36 81 96 130 41
26 29 81 38 40 79 98 128 42
26 30 82 37 40 75 74 129 37
27 1 77 36 37 90 103 126 40
27 2 80 38 39 90 107 129 43
27 3 83 39 40 88 105 130 44
27 4 84 39 41 90 110 130 43
27 5 82 39 41 92 112 131 44
27 6 83 41 42 89 112 132 45
27 7 84 41 42 87 112 132 46
27 8 83 39 43 86 107 132 45
27 9 81 36 38 77 100 132 41
27 10 77 34 37 84 100 130 38
27 11 76 34 33 87 99 130 38
27 12 74 33 32 86 95 130 36
27 13 75 33 30 88 95 130 36
27 14 74 33 30 92 92 129 32
27 15 76 34 32 88 95 129 39
27 16 79 36 39 74 100 129 45
27 17 80 37 41 72 101 129 45
27 18 80 37 40 75 98 130 43
27 19 79 36 38 75 97 130 43
27 20 79 36 39 77 103 130 43
27 21 81 39 43 79 102 131 45
27 22 84 39 43 76 103 132 44
27 23 82 37 43 79 103 132 43
27 24 83 36 39 82 105 132 43
27 25 79 37 40 81 101 133 42
27 26 81 35 38 83 101 133 42
27 27 81 36 40 79 103 134 43
27 28 83 37 42 77 105 135 47
27 29 85 40 44 76 107 136 47
27 30 84 38 45 76 102 137 47
28 1 79 37 38 88 102 127 41
28 2 80 38 38 94 109 130 43
28 3 82 39 41 89 107 130 43
28 4 83 40 41 89 110 130 45
28 5 82 38 40 92 112 130 45
28 6 83 39 41 90 110 132 45
28 7 84 39 41 86 113 132 47
28 8 82 38 40 81 107 132 45
28 9 81 36 39 76 100 132 41
28 10 79 34 35 81 100 131 39
28 11 77 34 34 84 100 130 40
28 12 77 33 33 80 97 130 39
28 13 76 32 31 83 94 131 36
28 14 74 34 29 89 90 129 37
28 15 79 36 39 79 100 129 44
28 16 83 38 44 70 101 129 46
28 17 83 38 44 71 102 129 46
28 18 83 38 44 75 103 130 46
28 19 83 37 42 78 102 130 45
28 20 82 38 42 78 107 130 46
28 21 84 39 46 80 110 131 48
28 22 87 41 46 80 110 132 48
28 23 86 39 44 82 109 132 46
28 24 85 37 42 82 108 132 45
28 25 82 38 42 81 104 135 44
28 26 84 38 42 79 105 137 46
28 27 83 37 44 74 108 137 46
28 28 83 38 44 73 110 137 49
28 29 86 38 45 70 108 137 47
28 30 85 38 47 73 111 137 49
29 1 80 37 38 87 106 127 42
29 2 81 38 39 94 109 129 42
29 3 81 38 37 93 107 130 44
29 4 82 37 37 92 108 130 42
29 5 81 37 38 91 111 130 44
29 6 78 36 38 87 103 132 42
29 7 78 36 36 80 106 132 44
29 8 78 36 35 81 104 131 43
29 9 81 36 38 74 99 131 41
29 10 81 34 35 79 101 130 39
29 11 76 32 32 83 97 131 37
29 12 76 32 30 84 93 131 36
29 13 75 31 30 82 92 131 37
29 14 76 34 34 77 98 130 44
29 15 83 38 42 72 102 129 49
29 16 85 39 45 70 103 129 48
29 17 83 37 44 69 101 129 46
29 18 83 38 45 75 106 130 46
29 19 84 37 42 78 105 130 46
29 20 83 38 41 77 107 130 46
29 21 87 40 46 78 112 130 48
29 22 86 40 47 79 107 132 45
29 23 85 38 43 80 108 132 44
29 24 85 38 43 81 108 132 45
29 25 87 38 45 75 108 134 47
29 26 87 40 48 68 109 137 50
29 27 85 38 46 67 109 137 49
29 28 83 38 44 67 107 137 48
29 29 85 39 47 69 109 137 49
29 30 84 40 48 73 112 137 50
30 1 79 37 39 86 107 127 43
30 2 80 38 38 91 111 128 43
30 3 80 37 37 89 106 130 42
30 4 79 36 35 90 103 130 39
30 5 78 35 35 92 104 131 40
30 6 78 34 34 91 99 130 39
30 7 76 35 33 89 101 130 40
30 8 77 34 32 90 101 130 39
30 9 78 34 37 80 99 130 43
30 10 79 32 35 77 99 130 39
30 11 75 32 33 81 94 131 39
30 12 75 32 30 84 92 131 36
30 13 74 32 31 84 91 131 38
30 14 79 34 37 72 95 130 45
30 15 82 37 40 70 99 129 46
30 16 83 38 42 70 102 129 46
30 17 83 38 43 70 101 129 45
30 18 82 38 42 75 104 130 44
30 19 83 37 40 79 107 130 45
30 20 84 37 40 77 107 130 46
30 21 87 40 46 77 113 130 49
30 22 85 41 47 78 105 131 46
30 23 84 38 42 76 104 130 44
30 24 83 37 42 74 105 129 45
30 25 86 38 46 67 107 130 49
30 26 86 39 49 65 108 137 51
30 27 85 38 47 66 109 137 50
30 28 82 37 46 65 110 137 50
30 29 82 38 47 66 114 137 50
30 30 84 38 47 70 112 139 50
