"x","y","depth"
93.94,4.89,146
93.95,94.77,168
94.18,47.74,26
94.39,3.21,43
94.54,115.35,141
94.78,56.71,117
94.89,1.75,141
95.05,23.48,82
95.27,51.3,151
95.59,33.98,185
95.66,126.82,136
95.69,3,89
95.88,104.87,133
96.25,43.52,82
96.32,53.85,74
96.76,63.69,112
97.09,52.3,79
97.41,52.31,95
97.5,50.97,45
97.82,54.67,57
99.03,46.24,100
99.13,48.6,89
99.33,64.97,50
99.47,52.76,33
100.62,59.38,40
100.63,56.07,32
100.81,34.41,70
101.19,65.7,58
101.32,66.59,29
101.93,59.93,27
102.3,45.14,31
102.53,43.63,27
102.54,56.09,52
102.9,66.22,55
103.17,70.54,38
103.31,25.49,128
103.67,68.84,58
103.73,55,23
104.25,85.98,74
104.28,56.06,39
104.79,57.14,28
104.83,126.21,128
105.13,49.03,22
105.21,94.28,113
105.22,45.19,35
105.28,115.19,107
105.33,65.92,52
105.38,68.72,56
105.53,63.98,54
105.62,104.58,152
105.75,51.33,36
105.81,15.79,108
105.97,74.9,113
106.09,44.35,28
106.09,56.2,23
106.16,43.74,14
106.18,35.12,83
106.58,45.79,10
106.59,3.54,116
106.62,42.13,19
107.36,46.78,26
107.49,62.93,74
108.25,62.02,42
108.6,47,57
108.73,47.32,38
109.06,43.55,26
110.39,116.19,62
110.56,49.09,27
110.81,40.52,19
110.9,61.91,56
112.22,53.95,26
113.56,49.83,17
113.73,119.33,62
113.75,109.84,54
114.46,54.39,20
114.51,63.86,108
114.65,112.95,46
114.71,119.68,67
114.73,35.02,121
114.73,104.88,104
114.8,83.15,128
114.81,50.34,11
114.98,51.41,12
114.98,126.53,131
115.03,113.18,41
115.22,114.42,115
115.25,74.56,125
115.36,45.33,130
115.72,95.94,123
115.91,54.96,38
116.05,54.28,25
116.13,4.41,179
116.48,15.51,104
116.59,119.69,56
116.87,53.44,25
117,115,55
117.29,26.19,129
117.59,51.62,27
118,55.76,10
118.1,58.7,14
118.85,115.55,73
118.85,119.24,58
122.84,117,77
123.27,121.55,39
123.31,114.02,48
123.33,64.69,122
123.63,14.28,142
123.87,44.58,137
124.17,94.66,147
124.19,75.49,158
124.51,115.11,67
124.63,114.83,67
124.98,3.75,148
125.01,115.19,35
125.19,105.97,123
125.24,33.96,137
125.72,125.02,65
125.74,84.32,142
125.78,24.2,155
126.93,117.54,48
126.93,115.46,59
127.14,52.86,129
127.21,111.44,55
127.48,114.96,98
127.95,113.72,47
128.07,116.16,64
128.52,115.71,43
